,ID,SMILES,Scaffold,Cleaned_Scaffold
0,cmpd_6917,NS(=O)(=O)c1ccc(NC(=O)CSC(=O)N2CCN(c3ccc(Cl)cn3)CC2)cc1,NS(=O)(=O)c1ccc(cc1)NC(=O)CSC(=O)N,NC(=O)SCC(=O)Nc1ccc(S(N)(=O)=O)cc1
1,cmpd_7311,N=C(N)c1ccc2nc(-c3cc([C@@H](CC(=O)O)C(F)(F)F)cc(F)c3F)[nH]c2c1,[NH2+]=C(N)c(cc1)cc(c12)[nH]c(n2)-c3cc(CCC(=O)[O-])ccc3,N=C(N)c1ccc2nc(-c3cccc(CCC(=O)O)c3)[nH]c2c1
2,cmpd_2740,NCc1cccc(-n2nc(C(F)(F)F)cc2C(O)=Nc2ccc(S(N)(=O)=O)cc2F)c1,[NH3+]Cc1cccc(c1)-n2nccc2C(=O)Nc3ccc(S(=O)(=O)N)cc3F,NCc1cccc(-n2nccc2C(=O)Nc2ccc(S(N)(=O)=O)cc2F)c1
3,cmpd_1642,N=C(N)c1ccc2cc([C@@H](NS(=O)(=O)c3ccc(C(F)(F)F)cc3)C(=O)O)ccc2c1,O=C([O-])[C@@H](C)NS(=O)(=O)c1ccc(C(F)(F)F)cc1,CC(NS(=O)(=O)c1ccc(C(F)(F)F)cc1)C(=O)O
4,cmpd_1886,Nc1cc(S(N)(=O)=O)ccc1NC(O)=Nc1c(F)c(F)c(-c2cccc(F)c2)c(F)c1F,Nc1cc(S(=O)(=O)N)ccc1NC(=O)Nc2ccccc2,Nc1cc(S(N)(=O)=O)ccc1NC(=O)Nc1ccccc1
5,cmpd_7489,NS(=O)(=O)c1ccc(N=C(O)c2cc(N3CCNCC3)cc(C(F)(F)F)c2)c(Cl)c1,NS(=O)(c1ccc(NC(c2ccccc2)=O)cc1)=O,NS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1
6,cmpd_963A,O=C(C1=C(CCCC1)C(Nc2c(F)cc(c3c(O)nccc3)cc2F)=O)O,O=C(O)C1=C(C(Nc2ccc(c3cccnc3O)cc2)=O)CCCC1,O=C(O)C1=C(C(=O)Nc2ccc(-c3cccnc3O)cc2)CCCC1
7,cmpd_963B,O=C(C1=C(CCCC1)C(Nc2c(F)cc(C3=CC=CNC3=O)cc2F)=O)O,O=C(O)C1=C(C(Nc2ccc(C3=CC=CNC3=O)cc2)=O)CCCC1,O=C(O)C1=C(C(=O)Nc2ccc(-c3ccc[nH]c3=O)cc2)CCCC1
8,cmpd_3144,NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCc2ccccc2)c(N[C@@H]2CCCNC2)c1F,C1[NH2+]CCC[C@H]1Nc(c2)c(ccc2S(=O)(=O)N)S(=O)(=O)CCc3ccccc3,NS(=O)(=O)c1ccc(S(=O)(=O)CCc2ccccc2)c(NC2CCCNC2)c1
9,cmpd_6142,NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NCc2ccc3ccccc3n2)c1F,NS(=O)(=O)c1ccc(S(=O)(=O)CCO)c(c1)NCc2cccc[nH+]2,NS(=O)(=O)c1ccc(S(=O)(=O)CCO)c(NCc2ccccn2)c1
